Orthogroup	Cardamine_hirsuta	Aethionema_saxatile
OG0000449	CARHR154370	As010G224860
OG0000449	CARHR273500	As005G114720
OG0000449	CARHR154360	As010G224870
OG0000449	CARHR273490	As005G114730
OG0000453	CARHR122200	As008G192590
OG0000454	CARHR265700, CARHR265680, CARHR265690	As002G044440, As002G044430, As002G043530, As002G043510, As002G043520
OG0000455	CARHR031850, CARHR022300, CARHR022290, CARHR022210, CARHR176330, CARHR022280, CARHR213610, CARHR022850, CARHR022330	As007G178440
OG0000459	CARHR254770, CARHR227580, CARHR221090, CARHR227590, CARHR227570, CARHR227620, CARHR227560, CARHR254740	As003G058960
OG0000460	CARHR052700	As005G099100
OG0000461	CARHR000120	As008G199680
OG0000461	CARHR131830	As006G146770
OG0000462	CARHR034080, CARHR061160, CARHR291870, CARHR209710, CARHR209720, CARHR243790, CARHR243780	As009G214710
OG0000463	CARHR154970, CARHR155030, CARHR155020, CARHR155090, CARHR155150, CARHR155070, CARHR155100	As010G224360, As010G224370
OG0000465	CARHR104910	As001G010580, As004G090240
OG0000466	CARHR140210, CARHR283630, CARHR140220, CARHR140230	As002G032990, As003G058720, As003G058680, As007G181090, As007G181100, As007G181730, As007G181390, As002G038080, As009G205530, As002G045940, As002G033580, As002G036910, As002G036900, As002G036920, As009G205540, As009G206460, As009G202280, As009G202290, As002G033670
OG0000468	CARHR164620	As012G280020
OG0000468	CARHR126780	As006G125920
OG0000468	CARHR133660	As006G144160
OG0000471	CARHR286910, CARHR028390, CARHR028370, CARHR028420	As003G069540, As003G069550
OG0000472	CARHR261860, CARHR261870	As004G097070, As004G097040, As004G097060, As004G097030, As004G097050
OG0000472	CARHR261880, CARHR261890	As004G097020
OG0000473	CARHR172740	As012G288330, As005G099530
OG0000474	CARHR157730, CARHR118230, CARHR238640	As009G216860, As011G261780, As010G222300
OG0000477	CARHR206050, CARHR132920, CARHR272250, CARHR107490	As004G084280, As009G211280
OG0000481	CARHR050610	As001G021880
OG0000482	CARHR059540, CARHR214170	As004G077750, As001G028390
OG0000483	CARHR268750	As002G047220
OG0000484	CARHR177100, CARHR177030, CARHR177640, CARHR177140, CARHR177000, CARHR195230, CARHR195280, CARHR195270	As009G203850
