Orthogroup	Cardamine_hirsuta	Erysimum_linariifolium
OG0000239	CARHR126990, CARHR127010, CARHR253920	El006G299430
OG0000242	CARHR105760, CARHR105770, CARHR105730	El005G272850
OG0000242	CARHR014460	El002G097950
OG0000242	CARHR014480, CARHR036430	El002G097960
OG0000242	CARHR014490	El002G097970
OG0000244	CARHR228610	El003G163990
OG0000244	CARHR252730	El001G005180
OG0000244	CARHR107520	El001G005160
OG0000247	CARHR180400	El002G130240
OG0000248	CARHR054340	El004G205450
OG0000248	CARHR166590	El001G027800
OG0000249	CARHR131180, CARHR131170	El001G010190, El001G010200
OG0000250	CARHR063130, CARHR063150	El004G221440, El004G221420, El004G221410, El004G221430
OG0000250	CARHR263070	El003G189050
OG0000252	CARHR135510	El006G314500, El002G132360, El006G289160, El008G368890
OG0000253	CARHR115150	El005G262180
OG0000254	CARHR135220	El004G220180, El001G033560, El004G219930, El006G289430
OG0000256	CARHR253260, CARHR253390	El001G005740
OG0000256	CARHR135560	El006G289100
OG0000257	CARHR102040, CARHR102030	El005G269290
OG0000257	CARHR216070, CARHR112870, CARHR219950, CARHR216060, CARHR057800, CARHR216110	El003G177270, El004G233260, El003G184780
OG0000258	CARHR147300	El001G040630, El001G040650
OG0000258	CARHR271060	El007G334450
OG0000258	CARHR147330	El001G040670
OG0000260	CARHR209980	El006G317920
OG0000260	CARHR029480	El007G349370
OG0000264	CARHR251320	El001G003610
OG0000264	CARHR252280, CARHR252320, CARHR252310	El001G004650, El001G004660
OG0000264	CARHR251330	El001G003620
OG0000265	CARHR285950	El001G028230
OG0000266	CARHR119130	El001G030730, El001G005860, El002G136470, El004G205750
OG0000268	CARHR144670	El001G037050
OG0000268	CARHR049930	El004G198500
OG0000268	CARHR211500	El001G081300
OG0000268	CARHR164050	El001G024850
OG0000270	CARHR243020, CARHR106740	El005G273730
OG0000270	CARHR247840	El003G142380, El003G147700
OG0000271	CARHR252250	El006G308350
OG0000273	CARHR038710, CARHR038690, CARHR038330	El001G049110, El003G184360
OG0000273	CARHR021360, CARHR021380	El002G105290
OG0000273	CARHR038630, CARHR038320	El003G181450
OG0000274	CARHR273300	El007G331270
OG0000274	CARHR053220	El004G201760
OG0000274	CARHR007140, CARHR007130	El002G089940, El002G089910
OG0000274	CARHR122830	El006G303380, El006G303400
OG0000275	CARHR097870	El005G260440, El001G046400, El005G260470, El005G260460, El005G260450
OG0000276	CARHR218850	El003G177930
