Orthogroup	Rorippa_islandica	Arabis_alpina
OG0000127	Roisl.0080s0276.1.p	Aa_G33880.h1.t1
OG0000127	Roisl.0082s0645.1.p	Aa_G69270.h1.t1
OG0000128	Roisl.0019s0650.1.p	Aa_G469550.h2.t1, Aa_G469550.h1.t1, Aa_G271280.h1.t1
OG0000128	Roisl.0018s0036.1.p, Roisl.0018s0037.1.p	Aa_G784880.h1.t1
OG0000128	Roisl.0018s0038.1.p	Aa_G271260.h1.t1
OG0000128	Roisl.0018s0034.1.p	Aa_G430920.h1.t1, Aa_G469560.h1.t1
OG0000129	Roisl.0080s0056.1.p, Roisl.0080s0057.1.p, Roisl.0204s0037.1.p, Roisl.0204s0045.1.p, Roisl.0189s0223.1.p	Aa_G61470.h1.t1, Aa_G716440.h1.t1, Aa_G61530.h1.t1
OG0000132	Roisl.0046s1480.1.p	Aa_G482030.h1.t1, Aa_G359110.h1.t1
OG0000132	Roisl.0024s0217.1.p	Aa_G75240.h1.t1
OG0000134	Roisl.0214s0845.1.p, Roisl.0214s0851.1.p	Aa_G146330.h1.t1
OG0000134	Roisl.0091s0127.1.p	Aa_G360810.h1.t1
OG0000134	Roisl.0195s0021.1.p	Aa_G578400.h1.t1
OG0000136	Roisl.0055s0066.1.p	Aa_G1053460.h1.t1
OG0000137	Roisl.0080s0795.1.p	Aa_G59090.h1.t1
OG0000137	Roisl.0080s0802.1.p	Aa_G925390.h1.t1
OG0000137	Roisl.0080s0798.1.p	Aa_G732190.h1.t1, Aa_G643460.h1.t1
OG0000137	Roisl.0080s0800.1.p	Aa_G643480.h1.t1
OG0000138	Roisl.0018s0009.1.p	Aa_G154170.h1.t1
OG0000138	Roisl.0018s0007.1.p	Aa_G517130.h1.t1, Aa_G154110.h1.t1
OG0000138	Roisl.0018s0015.1.p, Roisl.0018s0013.1.p	Aa_G244940.h1.t1
OG0000140	Roisl.0047s0081.1.p	Aa_G394930.h1.t1
OG0000140	Roisl.0047s0080.1.p, Roisl.0046s0059.1.p, Roisl.0083s0051.1.p, Roisl.0201s0007.1.p	Aa_G292460.h1.t1, Aa_G151720.h1.t1, Aa_G688150.h1.t1
OG0000140	Roisl.0002s0129.1.p, Roisl.0011s0081.1.p	Aa_G520870.h1.t1, Aa_G786940.h1.t1, Aa_G108880.h1.t1
OG0000140	Roisl.0040s0019.1.p	Aa_G341600.h1.t1
OG0000140	Roisl.0005s0334.1.p	Aa_G197860.h1.t1
OG0000141	Roisl.0021s0319.1.p	Aa_G124650.h1.t1, Aa_G366140.h1.t1
OG0000141	Roisl.0023s0060.1.p	Aa_G329600.h1.t1, Aa_G391060.h2.t1, Aa_G391060.h1.t1
OG0000141	Roisl.0209s0568.1.p, Roisl.0209s0569.1.p, Roisl.0010s0046.1.p, Roisl.0010s0047.1.p, Roisl.0184s0160.1.p, Roisl.0209s0570.1.p, Roisl.0010s0044.1.p	Aa_G473800.h1.t1, Aa_G391080.h1.t1, Aa_G733890.h1.t1
OG0000141	Roisl.0010s0063.1.p, Roisl.0010s0064.1.p	Aa_G492220.h1.t1
OG0000151	Roisl.0046s1506.1.p	Aa_G329140.h1.t1, Aa_G566620.h1.t1
OG0000151	Roisl.0046s1505.1.p	Aa_G729400.h1.t1
OG0000151	Roisl.0017s0307.1.p	Aa_G351720.h1.t1
OG0000151	Roisl.0046s1329.1.p	Aa_G13900.h1.t1
OG0000151	Roisl.0017s0076.1.p	Aa_G30120.h1.t1
OG0000151	Roisl.0210s1053.1.p	Aa_G388320.h1.t1
OG0000153	Roisl.0209s0522.1.p, Roisl.0082s0712.1.p	Aa_G49000.h1.t1, Aa_G235730.h1.t1
OG0000153	Roisl.0082s0715.1.p	Aa_G358520.h1.t1
OG0000153	Roisl.0082s0714.1.p	Aa_G35530.h1.t1
OG0000153	Roisl.0091s1018.1.p	Aa_G310600.h1.t1
OG0000153	Roisl.0082s0719.1.p	Aa_G173900.h1.t1
OG0000154	Roisl.0006s0138.1.p	Aa_G37000.h1.t1
OG0000158	Roisl.0046s0594.1.p, Roisl.0046s1609.1.p	Aa_G223250.h1.t1
OG0000159	Roisl.0029s0024.1.p	Aa_G50020.h1.t1
OG0000160	Roisl.0066s0007.1.p	Aa_G190130.h1.t1
