Orthogroup	Aethionema_saxatile	Cardamine_hirsuta
OG0000441	As011G248650	CARHR091660, CARHR091650
OG0000446	As009G219000	CARHR276320
OG0000446	As001G023650	CARHR145200
OG0000446	As008G183010	CARHR014840
OG0000447	As011G247170	CARHR090020
OG0000447	As004G081330	CARHR128030
OG0000447	As003G069220	CARHR028030
OG0000448	As004G089550	CARHR174490, CARHR174500, CARHR174510, CARHR174480
OG0000449	As010G224860	CARHR154370
OG0000449	As005G114720	CARHR273500
OG0000449	As010G224870	CARHR154360
OG0000449	As005G114730	CARHR273490
OG0000453	As008G192590	CARHR122200
OG0000454	As002G044440, As002G044430, As002G043530, As002G043510, As002G043520	CARHR265700, CARHR265680, CARHR265690
OG0000455	As007G178440	CARHR031850, CARHR022300, CARHR022290, CARHR022210, CARHR176330, CARHR022280, CARHR213610, CARHR022850, CARHR022330
OG0000459	As003G058960	CARHR254770, CARHR227580, CARHR221090, CARHR227590, CARHR227570, CARHR227620, CARHR227560, CARHR254740
OG0000460	As005G099100	CARHR052700
OG0000461	As008G199680	CARHR000120
OG0000461	As006G146770	CARHR131830
OG0000462	As009G214710	CARHR034080, CARHR061160, CARHR291870, CARHR209710, CARHR209720, CARHR243790, CARHR243780
OG0000463	As010G224360, As010G224370	CARHR154970, CARHR155030, CARHR155020, CARHR155090, CARHR155150, CARHR155070, CARHR155100
OG0000465	As001G010580, As004G090240	CARHR104910
OG0000466	As002G032990, As003G058720, As003G058680, As007G181090, As007G181100, As007G181730, As007G181390, As002G038080, As009G205530, As002G045940, As002G033580, As002G036910, As002G036900, As002G036920, As009G205540, As009G206460, As009G202280, As009G202290, As002G033670	CARHR140210, CARHR283630, CARHR140220, CARHR140230
OG0000468	As012G280020	CARHR164620
OG0000468	As006G125920	CARHR126780
OG0000468	As006G144160	CARHR133660
OG0000471	As003G069540, As003G069550	CARHR286910, CARHR028390, CARHR028370, CARHR028420
OG0000472	As004G097070, As004G097040, As004G097060, As004G097030, As004G097050	CARHR261860, CARHR261870
OG0000472	As004G097020	CARHR261880, CARHR261890
OG0000473	As012G288330, As005G099530	CARHR172740
OG0000474	As009G216860, As011G261780, As010G222300	CARHR157730, CARHR118230, CARHR238640
OG0000477	As004G084280, As009G211280	CARHR206050, CARHR132920, CARHR272250, CARHR107490
OG0000481	As001G021880	CARHR050610
OG0000482	As004G077750, As001G028390	CARHR059540, CARHR214170
OG0000483	As002G047220	CARHR268750
OG0000484	As009G203850	CARHR177100, CARHR177030, CARHR177640, CARHR177140, CARHR177000, CARHR195230, CARHR195280, CARHR195270
OG0000487	As006G137570, As008G196100	CARHR127370
OG0000495	As001G001610, As001G001580, As001G001640, As001G001650	CARHR267230
OG0000496	As007G177440	CARHR260560, CARHR214560, CARHR216850, CARHR289460
OG0000496	As001G013540, As007G178050	CARHR216880, CARHR257980, CARHR214550
OG0000496	As002G041610	CARHR052930, CARHR216890, CARHR154020, CARHR104360, CARHR121700
OG0000497	As010G233090	CARHR107870, CARHR058240
OG0000497	As002G040610	CARHR056780
OG0000498	As002G045150	CARHR266530
OG0000499	As003G056720	CARHR225130
OG0000499	As011G246530	CARHR089360
OG0000499	As012G269540	CARHR089350
OG0000500	As004G087470	CARHR177570, CARHR177670
OG0000501	As010G232220	CARHR287270
OG0000504	As006G143860	CARHR210740, CARHR134240
OG0000504	As002G037010, As002G034340	CARHR083900
OG0000505	As009G215510	CARHR188350, CARHR188310, CARHR188370, CARHR188360, CARHR188300
OG0000506	As010G234690	CARHR179040, CARHR206880
OG0000510	As001G020890, As001G020900	CARHR288780, CARHR052490, CARHR289000, CARHR288820, CARHR052480, CARHR288790, CARHR288930
OG0000511	As011G254140	CARHR097980
OG0000511	As001G032060	CARHR049420
OG0000512	As003G061390	CARHR230700, CARHR230710, CARHR149360, CARHR230730
OG0000513	As006G146210	CARHR163540
OG0000513	As005G114770	CARHR154420, CARHR273420
OG0000515	As012G267810	CARHR045880
OG0000521	As003G063570	CARHR034110
OG0000521	As004G080410	CARHR260010
OG0000521	As007G158420	CARHR071770
