Orthogroup	Cardamine_glauca	Noccaea_praecox
OG0000265	Cg002G064680, Cg003G102580, Cg001G029400, Cg001G041950, Cg006G213200, Cg008G309270, Cg007G252820, Cg001G002880, Cg006G204120, Cg005G180900, Cg004G141100, Cg003G086590, Cg002G049430	Np005G294290
OG0000266	Cg003G098940, Cg003G099000	Np003G177610, Np001G046580
OG0000266	Cg002G044180, Cg002G044170	Np006G336470
OG0000268	Cg002G074810	Np001G026200
OG0000268	Cg008G282710	Np003G125800
OG0000268	Cg002G052420	Np001G057220
OG0000269	Cg002G069710	Np009G432510
OG0000269	Cg007G256050, Cg004G151220	Np005G282190, Np007G405090
OG0000269	Cg006G211850	Np004G206800
OG0000270	Cg001G000740	Np005G260870, Np005G265330
OG0000270	Cg001G005510	Np007G377200
OG0000270	Cg006G226060	Np002G077720
OG0000271	Cg003G094150	Np007G395360
OG0000271	Cg006G199270	Np003G150700, Np003G184840
OG0000273	Cg006G201150, Cg006G201180	Np007G375980, Np004G199070
OG0000273	Cg006G201130, Cg006G201120, Cg006G201160	Np005G312740
OG0000274	Cg003G107390	Np003G152640
OG0000274	Cg007G251180	Np004G252150
OG0000275	Cg004G138960, Cg004G139000, Cg004G138970, Cg004G138980, Cg004G138950, Cg004G138940	Np007G384510, Np007G381770, Np007G381750, Np007G381740, Np007G382440, Np007G382420, Np007G384540, Np007G382890
OG0000276	Cg001G029710	Np005G308640
OG0000278	Cg003G105620	Np005G260810, Np005G260780, Np005G260850
OG0000280	Cg007G271390	Np005G298160
OG0000281	Cg006G220980	Np001G056160, Np001G056190
OG0000282	Cg008G288360	Np003G133500
OG0000282	Cg008G288380	Np003G133510
OG0000282	Cg008G288420, Cg008G288390, Cg008G288410, Cg008G288400	Np003G133530
OG0000283	Cg008G319010	Np001G041370
OG0000283	Cg008G318960, Cg008G318990, Cg008G318970	Np001G041380, Np001G041420, Np001G041390, Np001G041410
OG0000284	Cg008G323450, Cg008G323400, Cg008G323440, Cg005G189010, Cg008G323430, Cg008G323380	Np001G014190
OG0000285	Cg002G060650, Cg005G182020	Np002G086400
OG0000287	Cg007G251270	Np004G226800, Np004G226820, Np004G226810, Np004G226830
OG0000287	Cg004G137910	Np005G307830
OG0000287	Cg004G137940	Np007G380730
OG0000287	Cg004G140030	Np007G380710
OG0000287	Cg004G137980	Np007G380790
OG0000290	Cg004G135310	Np007G394710
OG0000293	Cg008G293400	Np002G083290
OG0000294	Cg004G133910	Np007G392540
OG0000294	Cg005G169690	Np006G338230
OG0000294	Cg003G077590, Cg014G332020	Np003G187470
OG0000295	Cg004G130770	Np007G379540, Np006G342510
OG0000296	Cg007G280920, Cg007G280630	Np006G337510
OG0000297	Cg005G178560, Cg005G178570, Cg005G178540	Np004G201930
OG0000297	Cg003G108160	Np003G151840
OG0000297	Cg004G136450	Np007G397060
OG0000298	Cg004G131150	Np005G316810
OG0000299	Cg001G026230, Cg001G026550	Np003G129930, Np002G107890
OG0000299	Cg005G181190	Np006G367710
OG0000299	Cg007G279160	Np004G208320
OG0000299	Cg006G194370	Np004G190450
OG0000300	Cg004G145430, Cg004G144800	Np007G389150
OG0000304	Cg008G321360, Cg008G321310, Cg008G321320	Np001G038750
OG0000308	Cg001G040650	Np005G316710
OG0000310	Cg002G058430	Np003G153250, Np003G152770
OG0000311	Cg008G296830	Np003G143670
