Orthogroup	Arabidopsis_arenosa	Euclidium_syriacum
OG0000117	jg30929	ESY5_g2017_DN3_SP0_c0.t1, ESY5_g2014_DN3_SP0_c0.t1, ESY5_g5207_DN3_SP0_c0.t1, ESY5_g5208_DN3_SP0_c0.t1, ESY5_g5162_DN3_SP0_c0.t1
OG0000118	jg19043	ESY3_g32056_DN2_SP0_c0.t1
OG0000118	jg2028, jg2031, jg2038, jg2030, jg7426	ESY3_g32358_DN3_SP0_c0.t1
OG0000118	jg24182, jg26523	ESY5_g4943_DN1_SP0_c0.t1, ESY5_g4942_DN3_SP0_c0.t1, ESY11_g54074_DN3_SP0_c0.t1
OG0000118	jg7233	ESY7_g16947_DN2_SP0_c0.t1
OG0000119	jg22962	ESY6_g48892_DN3_SP0_c5.t1, ESY9_g42653_DN3_SP0_c4.t1
OG0000119	jg14330, jg14326, jg14002, jg14327	ESY1_g9438_DN3_SP0_c57.t1, ESY4_g24785_DN3_SP0_c0.t1
OG0000122	jg22487, jg22488, jg22509	ESY3_g30973_DN3_SP0_c0.t1, ESY10_g14968_DN3_SP0_c0.t1, ESY20_g12804_DN3_SP0_c0.t1
OG0000122	jg22486	ESY6_g48225_DN3_SP0_c0.t1, ESY5_g1857_DN3_SP0_c0.t1
OG0000122	jg22485	ESY6_g48203_DN3_SP0_c0.t1, ESY2_g33718_DN3_SP0_c0.t1
OG0000122	jg32572	ESY2_g36290_DN3_SP0_c0.t1
OG0000123	jg21770, jg20712, jg23040, jg29450, jg17599, jg27950, jg23041, jg16607	ESY1_g10062_DN3_SP0_c100.t1, ESY1_g10061_DN3_SP0_c100.t1, ESY6_g49574_DN2_SP0_c100.t1
OG0000125	jg17897	ESY8_g58834_DN3_SP0_c19.t1
OG0000125	jg33004	ESY2_g37202_DN3_SP0_c14.t1
OG0000125	jg33354	ESY1_g12339_DN3_SP0_c5.t1
OG0000127	jg29136	ESY5_g4488_DN3_SP0_c0.t1
OG0000127	jg6123	ESY6_g48978_DN3_SP0_c0.t1, ESY6_g48979_DN3_SP0_c0.t1
OG0000127	jg15301	ESY3_g30943_DN3_SP0_c0.t1, ESY1_g11076_DN3_SP0_c0.t1
OG0000127	jg3993, jg24874	ESY1_g11079_DN3_SP0_c0.t1
OG0000127	jg22931, jg14378	ESY6_g48851_DN3_SP0_c0.t1
OG0000127	jg17851	ESY8_g58880_DN2_SP0_c0.t1
OG0000128	jg12826	ESY4_g26081_DN1_SP0_c0.t1, ESY1_g11254_DN1_SP0_c0.t1
OG0000128	jg15969, jg15970, jg20835, jg15964, jg27428, jg27424, jg15966, jg15965, jg13485, jg15959, jg15960, jg1161, jg11381	ESY1_g11245_DN1_SP0_c0.t1
