Orthogroup	Erysimum_linariifolium	Aethionema_saxatile
OG0000413	El003G158150, El007G335400	As002G048240
OG0000414	El002G110530	As003G058750, As003G058770, As003G058760
OG0000415	El001G069430, El001G049570, El001G049550, El001G049580, El001G049150, El006G286470	As005G104640
OG0000416	El006G300650, El006G300480	As006G125710
OG0000416	El006G316630	As006G127220, As008G194210
OG0000417	El005G267220, El005G267230, El007G344240, El005G267240, El001G006910, El001G009680	As007G163710, As008G186410
OG0000420	El006G289320	As010G222670
OG0000420	El003G191940, El003G191980, El003G184480, El003G193530	As001G015280
OG0000421	El003G188860, El003G188830, El003G188770, El003G188820, El003G188810, El003G185740, El003G185800, El003G178490, El003G188880, El003G188870	As004G078160, As004G078150
OG0000422	El002G092300, El002G092310, El002G092290, El002G127460	As008G188280, As008G188290, As008G188300
OG0000423	El004G224830	As010G241040
OG0000429	El001G052920	As009G215310
OG0000429	El001G070450	As002G052030
OG0000429	El003G150450, El006G314410	As001G004910
OG0000430	El005G273810	As011G263500
OG0000430	El003G147560	As001G014590
OG0000431	El004G203320	As001G019780
OG0000431	El002G092990, El002G092980	As008G187750
OG0000432	El007G340870	As002G044400
OG0000432	El003G157860	As006G134280
OG0000432	El007G336140	As002G047750
OG0000433	El004G205710, El004G205510, El004G205720, El001G047980	As003G075370, As003G075380, As003G075360, As003G075330, As003G075320, As003G075390, As011G250230, As008G187390, As008G187380, As008G187400
OG0000436	El003G158230, El007G335250, El005G278170	As011G266430, As002G048360
OG0000437	El002G121440	As003G062850
OG0000438	El001G006030	As004G085300
OG0000439	El002G088370	As008G194170
OG0000439	El001G031050	As012G285510
OG0000439	El006G301030	As006G127290
OG0000440	El005G237720, El006G294680, El001G063480, El005G237700	As006G136440
OG0000441	El005G253210	As011G248660
OG0000441	El005G253200, El005G253190	As011G248650
OG0000446	El007G328120	As009G219000
OG0000446	El001G037830	As001G023650
OG0000446	El002G098330	As008G183010
OG0000447	El005G251460	As011G247170
OG0000447	El006G297870	As004G081330
OG0000447	El002G114360	As003G069220
OG0000448	El007G365940, El007G365930, El007G365950	As004G089550
OG0000449	El001G015080	As010G224860
OG0000449	El007G331050	As005G114720
OG0000449	El001G015070	As010G224870
OG0000449	El007G331060	As005G114730
OG0000452	El007G350560	As001G002300, As001G002310
OG0000453	El006G308850	As008G192590
OG0000454	El007G357850, El007G340800, El007G340780	As002G044440, As002G044430, As002G043530, As002G043510, As002G043520
OG0000458	El007G327050	As002G043040
OG0000459	El003G185370, El003G179210, El003G164990, El001G048170, El001G047570	As003G058960
OG0000460	El002G120170	As005G099100
OG0000461	El002G082400	As008G199680
OG0000462	El003G187410, El003G187420, El001G066140	As009G214710
OG0000463	El001G015990, El001G015960	As010G224360, As010G224370
OG0000465	El004G212890	As001G010580, As004G090240
OG0000466	El002G133690, El002G133670, El001G079410, El004G219990	As002G032990, As003G058720, As003G058680, As007G181090, As007G181100, As007G181730, As007G181390, As002G038080, As009G205530, As002G045940, As002G033580, As002G036910, As002G036900, As002G036920, As009G205540, As009G206460, As009G202280, As009G202290, As002G033670
OG0000468	El001G025490	As012G280020
OG0000468	El006G299240	As006G125920
OG0000468	El006G291120	As006G144160
OG0000471	El002G114900, El002G114910, El002G114950, El002G114940	As003G069540, As003G069550
OG0000472	El003G190770	As004G097070, As004G097040, As004G097060, As004G097030, As004G097050
OG0000472	El003G190760	As004G097020
OG0000473	El001G034670	As012G288330, As005G099530
OG0000474	El001G018580, El001G056310, El006G317600	As009G216860, As011G261780, As010G222300
OG0000477	El006G291920, El005G274770, El007G333070, El001G074740	As003G057970
OG0000483	El007G336760	As002G047220
OG0000487	El006G298580	As006G137570, As008G196100
OG0000495	El003G181150, El006G311560, El003G181140, El003G181130, El006G311570, El003G184390, El007G338650	As001G001610, As001G001580, As001G001640, As001G001650
OG0000495	El006G318410, El005G260350, El006G318420	As007G179430, As007G177930
OG0000496	El004G209190	As002G041620, As001G004760
OG0000496	El002G127540	As001G012100, As004G090800
OG0000496	El007G352050	As002G041610
OG0000497	El001G051880	As009G210870, As009G211010
OG0000498	El007G339720	As002G045150
OG0000499	El003G168300	As003G056720
OG0000499	El005G250740	As012G269540
OG0000500	El007G362300	As004G087530, As004G087510, As004G087540, As004G087560, As004G087480
OG0000500	El007G362180, El007G362380	As004G087470
OG0000501	El002G124350	As010G232220
OG0000504	El001G080270, El006G290560	As006G143860
OG0000504	El005G244670	As002G037010, As002G034340
OG0000505	El001G053560, El001G053720, El001G053900	As009G215510
OG0000506	El001G076020, El004G223710	As010G234690
OG0000510	El004G201010, El004G200990, El004G200980, El004G201000, El004G200950, El004G200930, El004G200920	As001G020890, As001G020900
OG0000511	El005G260930	As011G254140
OG0000511	El004G198000	As001G032060
OG0000512	El003G161870, El003G161830, El005G278610, El005G278600, El003G161800, El003G161820	As003G061390
OG0000513	El001G024240	As006G146210
OG0000513	El001G015200, El007G331120	As005G114770
OG0000514	El005G258100	As011G252640, As011G252630
OG0000515	El002G141390	As012G267810
OG0000521	El002G124400	As003G063570
OG0000521	El001G010450	As004G080410
OG0000521	El004G231650	As007G158420
OG0000522	El002G120450, El002G120470, El002G120480, El002G120460, El001G008630, El001G008720	As004G083810
OG0000523	El006G281490, El006G281500	As005G100530
OG0000523	El001G033890	As012G287730
OG0000524	El005G243280, El007G349900	As006G141600, As006G141560, As006G141590
OG0000525	El004G231940	As010G241940
OG0000525	El005G251140	As011G246900
OG0000525	El002G138890	As012G269710
OG0000526	El001G017270, El001G017260	As010G223400
OG0000526	El001G017250	As010G223440
OG0000529	El001G057870, El001G057980, El001G057930, El001G057910	As005G113510, As005G113490, As005G113470
OG0000530	El001G063850	As009G203010, As009G203020, As009G203100, As009G203060, As009G202740
OG0000533	El006G320740	As007G180830
OG0000534	El001G009890, El004G198430, El004G198470, El004G198440, El004G198450, El005G262070	As007G167300, As001G022180, As001G022190, As001G022170, As001G016060
OG0000535	El001G037170, El001G037140	As001G023310
OG0000537	El001G004010	As006G124070
OG0000537	El003G179510, El003G179620	As004G093070
OG0000537	El005G242790	As006G141200
OG0000538	El006G285250, El006G285280, El002G122690, El006G285260	As005G103710, As005G103700
OG0000539	El007G321890	As005G120910
OG0000540	El006G303390, El006G303410, El006G303420, El006G303430	As006G128870, As006G128860, As006G128850
OG0000542	El001G065210	As009G202020
OG0000542	El002G132600	As012G273170
OG0000543	El006G316900, El004G207440	As007G177800
OG0000544	El004G214840	As008G195060
OG0000545	El004G227580	As010G238530
OG0000546	El005G274410, El005G274380, El005G274350, El005G274360, El005G274370	As011G264020, As011G264080, As011G264050, As011G264010, As011G264090, As011G264000, As011G264100, As011G263960, As011G264110, As011G263990, As011G264030, As011G264060, As011G263920, As011G264120, As011G263950, As011G263980
OG0000550	El001G023010	As002G037320
OG0000550	El006G294690, El002G139510	As006G144690
OG0000551	El007G325660	As005G117770
OG0000551	El003G142820	As003G075520
OG0000551	El001G072190	As002G053470
OG0000552	El002G108750	As007G159560, As003G061630
OG0000553	El002G122120	As003G063020, As003G063040
